kdrg_code,aadrg_code,kdrg_name,mdc_code
A0592,A059,,
A0593,A059,,
A0594,A059,,
A0595,A059,,
A0596,A059,,
A0597,A059,,
A0598,A059,,
A0599,A059,,
A0600,A060,,
A0601,A060,,
A0602,A060,,
A0603,A060,,
A0604,A060,,
A0605,A060,,
A0606,A060,,
A0607,A060,,
A0608,A060,,
A0609,A060,,
A0610,A061,,
A0611,A061,,
A0612,A061,,
A0613,A061,,
A0614,A061,,
A0615,A061,,
A0616,A061,,
A0617,A061,,
A0618,A061,,
A0619,A061,,
A0620,A062,,
A0621,A062,,
A0622,A062,,
A0623,A062,,
A0624,A062,,
A0625,A062,,
A0626,A062,,
A0627,A062,,
A0628,A062,,
A0629,A062,,
A0630,A063,,
A0631,A063,,
A0632,A063,,
A0633,A063,,
A0634,A063,,
A0635,A063,,
A0636,A063,,
A0637,A063,,
A0638,A063,,
A0639,A063,,
A0640,A064,,
A0641,A064,,
A0642,A064,,
A0643,A064,,
A0644,A064,,
A0645,A064,,
A0646,A064,,
A0647,A064,,
A0648,A064,,
A0649,A064,,
A0650,A065,,
A0651,A065,,
A0652,A065,,
A0653,A065,,
A0654,A065,,
A0655,A065,,
A0656,A065,,
A0657,A065,,
A0658,A065,,
A0659,A065,,
A0660,A066,,
A0661,A066,,
A0662,A066,,
A0663,A066,,
A0664,A066,,
A0665,A066,,
A0666,A066,,
A0667,A066,,
A0668,A066,,
A0669,A066,,
A0670,A067,,
A0671,A067,,
A0672,A067,,
A0673,A067,,
A0674,A067,,
A0675,A067,,
A0676,A067,,
A0677,A067,,
A0678,A067,,
A0679,A067,,
A0680,A068,,
A0681,A068,,
A0682,A068,,
A0683,A068,,
A0684,A068,,
A0685,A068,,
A0686,A068,,
A0687,A068,,
A0688,A068,,
A0689,A068,,
A0690,A069,,
A0691,A069,,
A0692,A069,,
A0693,A069,,
A0694,A069,,
A0695,A069,,
A0696,A069,,
A0697,A069,,
A0698,A069,,
A0699,A069,,
A0700,A070,,
A0701,A070,,
A0702,A070,,
A0703,A070,,
A0704,A070,,
A0705,A070,,
A0706,A070,,
A0707,A070,,
A0708,A070,,
A0709,A070,,
A0710,A071,,
A0711,A071,,
A0712,A071,,
A0713,A071,,
A0714,A071,,
A0715,A071,,
A0716,A071,,
A0717,A071,,
A0718,A071,,
A0719,A071,,
A0720,A072,,
A0721,A072,,
A0722,A072,,
A0723,A072,,
A0724,A072,,
A0725,A072,,
A0726,A072,,
A0727,A072,,
A0728,A072,,
A0729,A072,,
A0730,A073,,
A0731,A073,,
A0732,A073,,
A0733,A073,,
A0734,A073,,
A0735,A073,,
A0736,A073,,
A0737,A073,,
A0738,A073,,
A0739,A073,,
A0780,A078,,
A0781,A078,,
A0782,A078,,
A0783,A078,,
A0784,A078,,
A0785,A078,,
A0786,A078,,
A0787,A078,,
A0788,A078,,
A0789,A078,,
A0790,A079,,
A0791,A079,,
A0792,A079,,
A0793,A079,,
A0794,A079,,
A0795,A079,,
A0796,A079,,
A0797,A079,,
A0798,A079,,
A0799,A079,,
A0800,A080,,
A0801,A080,,
A0802,A080,,
A0803,A080,,
A0804,A080,,
A0805,A080,,
A0806,A080,,
A0807,A080,,
A0808,A080,,
A0809,A080,,
A0810,A081,,
A0811,A081,,
A0812,A081,,
A0813,A081,,
A0814,A081,,
A0815,A081,,
A0816,A081,,
A0817,A081,,
A0818,A081,,
A0819,A081,,
A0820,A082,,
A0821,A082,,
A0822,A082,,
A0823,A082,,
A0824,A082,,
A0825,A082,,
A0826,A082,,
A0827,A082,,
A0828,A082,,
A0829,A082,,
A0830,A083,,
A0831,A083,,
A0832,A083,,
A0838,A083,,
A0840,A084,,
A0841,A084,,
A0842,A084,,
A0843,A084,,
A0844,A084,,
A0845,A084,,
A0846,A084,,
A0847,A084,,
A0848,A084,,
A0849,A084,,
A0850,A085,,
A0851,A085,,
A0852,A085,,
A0853,A085,,
A0854,A085,,
A0855,A085,,
A0856,A085,,
A0857,A085,,
A0858,A085,,
A0859,A085,,
A0900,A090,,
A0901,A090,,
A0902,A090,,
A0903,A090,,
A0904,A090,,
A0905,A090,,
A0906,A090,,
A0907,A090,,
A0908,A090,,
A0909,A090,,
A0910,A091,,
A0911,A091,,
A0912,A091,,
A0913,A091,,
A0914,A091,,
A0915,A091,,
A0916,A091,,
A0917,A091,,
A0918,A091,,
A0919,A091,,
A0920,A092,,
A0921,A092,,
A0922,A092,,
A0923,A092,,
A0924,A092,,
A0925,A092,,
A0926,A092,,
A0927,A092,,
A0928,A092,,
A0929,A092,,
A0930,A093,,
A0931,A093,,
A0932,A093,,
A0933,A093,,
A0934,A093,,
A0935,A093,,
A0936,A093,,
A0937,A093,,
A0938,A093,,
A0939,A093,,
A0990,A099,,
A0991,A099,,
A0992,A099,,
A0993,A099,,
A0994,A099,,
A0995,A099,,
A0996,A099,,
A0997,A099,,
A0998,A099,,
A0999,A099,,
A1500,A150,,
A1501,A150,,
A1510,A151,,
A1511,A151,,
A1520,A152,,
A1521,A152,,
A1530,A153,,
A1531,A153,,
A1540,A154,,
A1541,A154,,
A1550,A155,,
A1551,A155,,
A1560,A156,,
A1561,A156,,
A1570,A157,,
A1571,A157,,
